Date,GS
2011-05-04,151.520004
2011-05-05,150.41000400000001
2011-05-06,150.100006
2011-05-07,149.77333566666667
2011-05-08,149.44666533333333
2011-05-09,149.119995
2011-05-10,150.399994
2011-05-11,147.880005
2011-05-12,142.75
2011-05-13,141.46000700000002
2011-05-14,141.17334000000002
2011-05-15,140.886673
2011-05-16,140.600006
2011-05-17,140.809998
2011-05-18,140.83999599999999
2011-05-19,139.33999599999999
2011-05-20,134.990005
2011-05-21,135.27333533333334
2011-05-22,135.55666566666665
2011-05-23,135.83999599999999
2011-05-24,136.33999599999999
2011-05-25,136.240005
2011-05-26,136.259995
2011-05-27,138.66000400000001
2011-05-28,139.177502
2011-05-29,139.695
2011-05-30,140.212498
2011-05-31,140.729996
2011-06-01,136.169998
2011-06-02,134.380005
2011-06-03,135.330002
2011-06-04,134.85333266666666
2011-06-05,134.37666333333334
2011-06-06,133.899994
2011-06-07,132.990005
2011-06-08,131.58999599999999
2011-06-09,133.529999
2011-06-10,135.919998
2011-06-11,136.456665
2011-06-12,136.993332
2011-06-13,137.529999
2011-06-14,137.100006
2011-06-15,134.850006
2011-06-16,136.08999599999999
2011-06-17,137.229996
2011-06-18,136.53333033333334
2011-06-19,135.83666466666665
2011-06-20,135.139999
2011-06-21,135.96000700000002
2011-06-22,134.520004
2011-06-23,132.360001
2011-06-24,130.91000400000001
2011-06-25,130.84333833333335
2011-06-26,130.77667266666668
2011-06-27,130.71000700000002
2011-06-28,129.259995
2011-06-29,132.529999
2011-06-30,133.08999599999999
2011-07-01,136.649994
2011-07-02,136.1124955
2011-07-03,135.574997
2011-07-04,135.0374985
2011-07-05,134.5
2011-07-06,133.889999
2011-07-07,135.009995
2011-07-08,134.080002
2011-07-09,133.393336
2011-07-10,132.70667
2011-07-11,132.020004
2011-07-12,130.309998
2011-07-13,129.919998
2011-07-14,129.889999
2011-07-15,130.16000400000001
2011-07-16,129.88333666666668
2011-07-17,129.60666933333334
2011-07-18,129.330002
2011-07-19,128.490005
2011-07-20,132.75
2011-07-21,135.580002
2011-07-22,135.490005
2011-07-23,135.94333866666668
2011-07-24,136.39667233333333
2011-07-25,136.850006
2011-07-26,137.600006
2011-07-27,134.720001
2011-07-28,135.83999599999999
2011-07-29,134.970001
2011-07-30,134.69666533333333
2011-07-31,134.42332966666666
2011-08-01,134.149994
2011-08-02,131.229996
2011-08-03,132.080002
2011-08-04,126.230003
2011-08-05,125.18
2011-08-06,122.67333466666668
2011-08-07,120.16666933333333
2011-08-08,117.660004
2011-08-09,122.730003
2011-08-10,110.339996
2011-08-11,118.099998
2011-08-12,116.470001
2011-08-13,117.35666633333334
2011-08-14,118.24333166666666
2011-08-15,119.129997
2011-08-16,116.870003
2011-08-17,117.25
2011-08-18,113.139999
2011-08-19,111.760002
2011-08-20,110.010002
2011-08-21,108.260002
2011-08-22,106.510002
2011-08-23,106.860001
2011-08-24,110.309998
2011-08-25,109.839996
2011-08-26,111.75
2011-08-27,113.19
