Date,BZ=F_oil,CL=F_oil,GLD,SI=F,AAPL,BAC,C,CS,DB,GSBD(march-19-2015),HRI,JPM,LYG,MAN,MS,MUFG,UBS
2018-08-10,72.809998,67.629997,114.690002,15.266,51.8825,31.190001000000002,70.260002,15.27,11.82,22.209999,52.439999,115.730003,3.14,89.589996,48.389998999999996,5.94,15.61
2018-08-11,72.74333233333333,67.48666366666667,114.11333433333334,15.161666666666667,51.99416633333333,30.953334,69.893336,15.18,11.696666666666667,22.193332666666667,52.01999933333333,115.11666833333334,3.1366666666666667,89.23666366666667,48.043332,5.913333333333334,15.556666666666667
2018-08-12,72.67666666666666,67.34333033333333,113.53666666666666,15.057333333333332,52.105832666666664,30.716667,69.52667,15.09,11.573333333333332,22.176666333333333,51.59999966666667,114.50333366666666,3.1333333333333333,88.88333133333333,47.696664999999996,5.886666666666667,15.503333333333332
2018-08-13,72.610001,67.199997,112.959999,14.953,52.217499,30.48,69.160004,15.0,11.45,22.16,51.18,113.889999,3.13,88.529999,47.349998,5.86,15.45
2018-08-14,72.459999,67.040001,113.07,15.025,52.4375,30.790001,70.010002,15.09,11.49,22.23,52.07,114.650002,3.1,87.800003,47.860001000000004,5.9,15.55
2018-08-15,70.760002,65.010002,111.190002,14.421,52.560001,30.360001,68.650002,14.87,11.19,22.1,50.459998999999996,113.699997,3.06,87.989998,47.450001,5.84,15.48
2018-08-16,71.43,65.459999,111.099998,14.697,53.330002,30.719998999999998,69.559998,14.83,11.21,22.209999,50.939999,114.769997,3.04,88.410004,48.299999,5.97,15.46
2018-08-17,71.83000200000001,65.910004,112.129997,14.616,54.395,30.74,69.66999799999999,14.81,11.2,22.15,51.290001000000004,114.769997,3.07,88.260002,48.369999,6.05,15.47
2018-08-18,71.95666766666668,66.083336,112.31666533333333,14.629,54.218334000000006,30.783333666666667,69.956665,14.826666666666666,11.206666666666667,22.173333,51.48666766666667,114.719999,3.0733333333333333,88.600001,48.343333,6.07,15.493333333333334
2018-08-19,72.08333333333333,66.256668,112.50333366666668,14.642,54.041668,30.826667333333333,70.243332,14.843333333333334,11.213333333333333,22.196665999999997,51.683334333333335,114.670001,3.0766666666666667,88.94,48.316667,6.09,15.516666666666666
2018-08-20,72.209999,66.43,112.690002,14.655,53.865002000000004,30.870001000000002,70.529999,14.86,11.22,22.219998999999998,51.880001,114.620003,3.08,89.279999,48.290001000000004,6.11,15.54
2018-08-21,72.629997,67.349998,113.019997,14.751,53.759997999999996,31.02,71.239998,15.06,11.54,22.23,52.91,115.32,3.12,90.650002,48.540001000000004,6.08,15.73
2018-08-22,74.779999,67.860001,113.269997,14.735,53.762501,30.98,71.120003,14.95,11.61,22.32,53.080002,114.970001,3.16,90.230003,48.599998,6.08,15.72
2018-08-23,74.730003,67.83000200000001,112.199997,14.527,53.872501,30.84,70.809998,14.88,11.3,22.27,51.18,114.730003,3.11,89.599998,48.130001,6.04,15.51
2018-08-24,75.82,68.720001,114.160004,14.779,54.040001000000004,30.889999,70.66999799999999,14.95,11.39,22.33,50.970001,114.68,3.13,89.260002,48.139998999999996,6.02,15.59
2018-08-25,75.94999966666666,68.77000166666666,114.30333466666667,14.800666666666666,54.18833433333334,31.029999,71.24333166666666,15.023333333333333,11.503333333333334,22.289999666666667,51.34666666666667,115.35666633333334,3.143333333333333,90.45333333333333,48.72333233333333,6.05,15.663333333333334
2018-08-26,76.07999933333333,68.82000233333333,114.44666533333333,14.822333333333333,54.33666766666667,31.169998999999997,71.81666533333333,15.096666666666666,11.616666666666667,22.24999933333333,51.72333233333333,116.03333266666667,3.1566666666666667,91.64666466666667,49.30666566666666,6.08,15.736666666666666
